,出現度数
Ognian Kassabov T,1
Grzegorz Bobinski,1
Yifang Liu,1
Hyewon Jang,1
Lennart B. Karlsson,1
Francesco Pontiggia Mr,1
Sergej Moiseenko G.,1
Fabian Berski,1
Giorgio Matthiae,1
Xiaojin Bai,1
Elana Fertig,1
Malte C Gather,1
Paul Camp,1
Harr Chen,1
Lizh,1
Bart van Voorden,1
Hiroshi Imada,1
Sujin Babu,1
Hector Barco Cobalea,1
Aditeya Pandey,1
Alexander Holiday,1
Muasaad Alrasheedi,1
Sheng-Lan Ko,1
Ciprian C Chiril{\ba},1
Roger John Barlow,1
Yixian Liu,1
Narbe Mardirossian,1
Jayati Ghosh Dastidar,1
Jordi Burguet-Castell,1
David Phillips,1
Dung Nguyen Tien,1
Sibusiso  Moyo,1
Arash Azhand,1
Fabian Portmann,1
Masao Tsuzuki,1
Tommaso Pincelli PhD,1
Nathalie De Ruette,1
"Peter B\""urgisser",1
Stephan Steinfurt,1
"Janis N\""otzel",1
Or Perlman,1
Dinesh Chandra Maurya,1
J.J. GonzÃ¡lez-AvilÃ©s,1
Zhaosong Huang,1
Santhosh Kumar Ramakrishnan,1
Wataru Kokuyama,1
Sofiane Abbar,1
Anand Kumar Narayanan,1
Tillmann Miltzow,1
Ganesh Adhikary,1
Andres Godoy,1
Andrey Radzhabov E.,1
Sheikh Javid,1
Efe Kemaneci Dr.,1
Fabrizio Del Monte,1
Wolfgang Wefelmeyer,1
Florian Weig,1
Nitin Padture,1
Jean-Pierre Briot,1
Pruisken Adrianus,1
Tobia Mattia Mazzolari,1
Aonghus Lawlor,1
Chris Fox,1
Maciej Zamorski,1
Paul L. Tipton,1
Eigil Rischel,1
Jerry Vavra,1
Maulik Parmar,1
Thomas Thundat,1
Irene-Angelica Chounta,1
Yunlong Meng Mr.,1
Eliecer Hernandez Gajate,1
Hugh Jones,1
Jhony Ariel Herrera Mendoza BSc.,1
Carl Bennett,1
Yuri Gaididei,1
Eric Mintun,1
Mingmou Liu,1
Ramanathan Subramanian,1
Longjiu Cheng,1
Emmanuel Mercado Gutierrez,1
Claude Greengard,1
Joao Nuno Tavares,1
Johana Chirinos,1
Hyunjun Eun,1
Vladimir Anisimov,1
Zahra Bakhshii,1
Anton Burkin,1
Mariusz Kubkowski,1
Neil Ma\~nibo,1
Rodrigo Arias,1
Christian Veldhuis,1
Hans De Sterck,1
Gil Shamir,1
Mario Peruggia,1
Shin-Yi Lin,1
"Tobias H. J\""ager",1
Hitoshi Ishiwata,1
L\'eo Maczyta,1
Zhang G.,1
Steven Seel,1
Ilknur Icke,1
Dario Rocca,1
Farhad Merchant,1
Dr. Rudolf Sollacher,1
Laurits H. Olesen,1
Jonathan Hasenburg,1
Evgeny Baraboshkin E.,1
Daniel Hogg,1
Yulong Cao,1
Salman Memon,1
Michael Zarichnyi,1
Kamales  Kar Prof.,1
Chris Halcrow J,1
Keming Zhang,1
Robert Content,1
A. G. Monastra,1
Mehdi Lamee,1
Fabio Postiglione,1
Paulo Sergio Santos,1
Han Zhao,1
Boyan Xu,1
Minoru Koga,1
Francesco Belardinelli,1
"Christoph S\""oller",1
Stefan Schiffler,1
Ying-Li Zhang,1
Yasuyuki Wakamatsu,1
Nikita A. Shevchenko,1
Kaca Bradonjic,1
Kazushi Yamashiro,1
Luca Agozzino,1
Pradisi Gianfranco,1
Jia-Jing Lu,1
Joshua Barr,1
Evgeny Malogolovets Mr.,1
Jaime Moya,1
Stefano Piano Dr,1
"Thomas L\""ubbert",1
Hideyuki Tachibana,1
Farhad Farzbod,1
Massimo Vaccaro Dr.,1
David Wu,1
Denis Dauvergne,1
Ralph C. Minehart,1
Andreas Weller,1
Keivan Hassani Monfared,1
Erwei Wang,1
Dean Johnstone Mr,1
Jean-Christophe Mauduit,1
Birgit Zatschler,1
Filiz \c{C}a\u{g}atay U\c{c}gun,1
Terry Olson,1
Marcus Isinger,1
Chi Huang,1
Wac{\l}aw Marzantowicz,1
Alexander Garbali,1
Wojciech Rudzi\'nski,1
B. Gail Ivanoff,1
Leandro Esteves,1
Wanli Lu,1
Firas Hamze,1
Catia Grimani Dr.,1
Leszek Szybisz Lesio,1
Tuvi Etzion,1
Andreas Sawadsky,1
Paulo Eduardo de Brito PEB,1
John Young,1
Khalid Muhammad,1
J. Christopher Beck,1
Takahiro Oba,1
Joydeep Singha,1
H\'el\`ene Laffon,1
Sebastian Rabien,1
Rongqing Zhang,1
Marc de Kamps,1
Mehdi Khazaei,1
Nuria Jordana-Mitjans,1
Robert Stewart,1
Suyun Bae,1
Daniel Moser,1
A. I. Coles,1
Remi Polles,1
Donghan Hu,1
Michele Scalas,1
Torben Jabben,1
Malgorzata Klimek,1
Hansjoerg Donnerberg,1
Dragoljub Ke\v{c}ki\'c PhD,1
Hidefumi Hiura,1
Rubens R. S. Oliveira,1
Antonio F. Ra\~nada,1
Raul Isea,1
Antonio Marquez Romero,1
Miguel Carcamo,1
Antoine Kouchner,1
Lubov' Manakova,1
Mingjia Shangguan,1
Ye Chen,1
Lu  Wang,1
Stefan Grauer,1
Markus Laukamp,1
Elizabeth (Lily) Hanson,1
Sven Macko,1
Wonseok Jeon,1
Dick Maryopi,1
Efthymios Polatidis,1
Matthias F. Schneider,1
Nirmal Roy,1
Octavi Obiols-Sales,1
Scott Kruger,1
Jakub \v{Z}\'adn\'ik,1
Erik Van der Giessen,1
Damir Hasi\'c,1
Boos,1
Maxime Grandin,1
Andrea Parmeggiani,1
Anton Solov'yov,1
Ali Shafiei,1
Fenglong Ma,1
Boris Karpov,1
Konstantin Sveshnikov,1
Zhiyuan Guo,1
Lingfei Zhao,1
Ivan Yegorov (Egorov),1
Shang-Gang Shi,1
Rudolf H. Riedi,1
D. Greusard,1
Andrea Solotar,1
Christian Clemens,1
Wentao Feng,1
Suofei Zhang,1
Giuseppe Gagliardi,1
Andreagiovanni Reina,1
Adra Carr,1
Perry De Valpine,1
Murtaza Safdari,1
Alain Abergel,1
Soontorn Chanyawadee,1
Michael Hsieh,1
V\'ictor Manuel Ortiz-Sotomayor,1
Mark Adams,1
Gary Batt,1
Vadim Volodin,1
Samy Wu Fung,1
Juhan Kim,1
Greg Goldstein Dr,1
Rui Pedro Lopes De Azevedo,1
Yoshihiro Seiya,1
Yotam Smilansky,1
Peter Yuditskii,1
Vishal Shah,1
Ian Sullivan,1
Vishwajeet Jha,1
Chris Neugebauer,1
Matteo Franchin Dr,1
Sebastien Viscardy,1
Jugal Garg,1
Mauro Artigiani,1
Xuancheng Huang,1
Mingjie Li,1
Avik Pal,1
Jelena Radovanovic,1
Leon Ramzews,1
Pavel Terekhin,1
Thomas John Baird,1
Xiaobin Xiong,1
Hsu Myat Mo,1
Andrey Trepalin,1
N. Barat,1
Walter Belardi DR,1
Bert Van Pol,1
Melissa Emory,1
Christian Wahl,1
Mir Rayat Imtiaz Hossain,1
Me Me Me,1
Colin Mallows,1
Max Marcus,1
TsungChe Liu,1
Hugo Kussaba Ph.D.,1
Vladislav Capek,1
Reece Jackson-Jones,1
Swaroop Chatterjee,1
Gautier Dietrich,1
Benjamin Hayworth,1
A. M. Cooper-Sarkar,1
- Pascal W.,1
Odell Collins,1
Anna-Sabina Ruetschi,1
Yue Xiao,1
Jun Tokimoto,1
J. A. Ponciano,1
"Rapha\""el Pestourie",1
Carlos Matr\'{a}n,1
Roland Vanderspek,1
Daichi Kawana,1
Hooshiar Zolfagharnasab,1
Mark Warner,1
Milan Zlatanovic,1
Shihshu Walter Wei,1
Rudrakant Sollapur,1
B. Irmer,1
Daria Dubrovin (Fleurov),1
Silviu Covrig,1
Riley Chien,1
Tilly Evans,1
Henda Chaabouni ouni,1
Johan Gran{\aa}ker,1
Sarosh Fatakia,1
Yousuke Takeuchi,1
Wilson Santos,1
Stefan Bernhard Ruester,1
Constance Mahony,1
Avishek Ghosh,1
Julia Lieb,1
Janne V. Kujala,1
A Kannan,1
Shashank Kotyan,1
Maurizio Biasini,1
Kabir Chakravarti,1
Constantin Petros Bachas,1
Jos\'e Crespo,1
Erwin  Bruning,1
Fabi\'an Riquelme,1
Kathrin Henschel,1
Alessandro Fortunelli,1
Cindy Ng,1
Diego Hollmann,1
V.Kuppusamy Chandrasekar,1
Yueh-Lin Loo,1
Matthias W. Klein,1
A. Mathieu,1
Susanna Widicus Weaver,1
Hu Xiang-ming,1
Alessandro Masullo,1
Osku Raukunen,1
Timothy Milbourne,1
Shengli Zhang,1
Peter Mosch,1
Bin Cui,1
Marek Gluza,1
Matthew Daly,1
Andr\'e Gustavo De Oliveira,1
Sabine Wollmann,1
Andrey V. Danilov,1
David S. Matteson,1
Dahao Liu,1
Joonho Bang,1
Flavio Vella,1
Andrea Davini Mr.,1
Toshiyuki Tanisaki,1
Weijie Gao,1
Yazhou Yao,1
Momiao Xiong,1
Javier Escudero,1
Vittorio Paolone,1
Patrick Rebeschini,1
Muhammad Umar B Niazi,1
Christoph Wendel,1
Soeren Wengerowsky,1
Daniel Zinder,1
Lars Holden,1
Ivan Dimitrijevic,1
Pierre Martin,1
Matilde Mart\'inez,1
Zhenyang Zhong,1
"Stefan K\""onig",1
Manfred Herbst,1
Teppei Suzuki,1
Shoji Ogawa,1
Guoqiang Liu,1
Fabian Pallasdies,1
Vic Hughes,1
Erik Madsen,1
Valentin Blideanu,1
Silvia Piantelli,1
Nejc \v{C}eplak,1
Sun-Chong Wang,1
Daniel Longenecker,1
Drew Lewis,1
Yuanbo Hou,1
Silvio Da Costa Ferreira Junior,1
Yunhe Cao,1
Pradheesh R,1
Zengrong Hao,1
John Palmore Jr,1
Rosario Bartiromo Dr,1
Kovaleva,1
Stephan Wesch,1
Enrico Carlini,1
Nadiia Derevianko,1
Changli Liu,1
Siwen Li,1
Laurent Gaudefroy,1
Evan Camrud,1
Vinay Joseph,1
Masato Kishi,1
Hector Hernandez,1
Emily Alicea-Munoz,1
E Canessa,1
Ralph Pasquinelli,1
Zijin Li,1
Victor Blanco,1
XiangMeng Lu,1
"Moritz B\""ock",1
Henry Abarbanel,1
Renee Klawitter,1
Dheeraj Kumar,1
Wen  Lu,1
"Markus K\""uhbach",1
Paolo Minero,1
Giuseppe Gallo,1
Artur J. Gawryszczak,1
Soham De,1
Amin Gohari,1
Zhen Cui,1
Shantanu Mishra,1
Francisco J. Barrantes,1
S. Melkonian,1
Srinivas Yerramalli,1
Peter Andrew Milne,1
Gendith Sardane,1
Rodrigo Martin,1
Cale Rankin,1
Yosuke Yamashiki,1
Giovanni Catania,1
Xihan Ji,1
Owen Levin,1
Marta De Simone,1
Oleg Prezhdo,1
Maurizio D'Eliseo,1
Victor Turchin,1
Claire Esau,1
Elizabeth Eardley,1
Sadi Seker E,1
A. Edery,1
Stratis Tzoumas,1
Alex Birnkraut,1
Kyle Slinker,1
Ali Darbandi,1
Tetiana Kosenkova,1
"Rapha\""el Jauslin",1
Olga Russakovsky,1
Deepti Ghadiyaram,1
Zhongyan Shen,1
Tehseen Rug,1
Gavin Hester,1
Peter Reimitz,1
Jose M. Brito,1
Maaz Bin Safeer Ahmad,1
Sanjit Kumar Ghose,1
Niccol\`o Dal Santo,1
Armel Jacques Nzekon Nzeko'o,1
Paul Gorman,1
Attila Rakos,1
Carlos Alberto Plata Ramos,1
Guangyu Yi,1
Petros Dellaportas,1
Paulo Protachevicz,1
Lingjie Du,1
Vinu Lukose,1
Leyuan Wang,1
Fred Brackx,1
Katarina Miljkovic,1
Joseph Walding,1
Antonio Pich Zardoya,1
Yuan Xiao,1
Oliver Ratmann,1
D\v{z}enan Zuki\'c,1
Matt Pillsbury,1
Xia Cui,1
Peter Eisenhardt,1
Alexey Alfonsov,1
Andi Wahju Rahardjo Emanuel,1
Marco Endrizzi,1
Gichang Noh,1
Meiyin Yang,1
Matthew Brunner,1
"Yannick Sch\""on",1
Jan-Hein Cremers,1
Yueqiang Liu,1
Luis M. A. Bettncourt,1
Gladys Nieva,1
Shinji Kitao,1
Abdulgani Annaberdiyev,1
Alexander  Tagantsev K,1
Jose Caro,1
Ursula Bengaard Hansen,1
John E. McCarthy,1
Maki Ikegami,1
Cong Jie Ng,1
Alexander Backs,1
Tobias Welz,1
Nahuel Statuto,1
Nima Nouri,1
Arndt Effern,1
Xiaoqian Sun,1
Hasselbach,1
Laszlo Kestay,1
Jesse van de Sande M.Sc.,1
Parham Dehghani,1
Xiaoze Liu,1
Federico Bottegoni,1
Sofia Suvorova,1
Tanju Gleisberg,1
Edwin Kellogg,1
Oscar Jose Pinto Eboli,1
Che Sun,1
Pavan Kumar Jakkepalli,1
Laura Corner Dr,1
Ing-Shouh Hwang,1
Daisuke Takegami,1
Riccardo Bergamin,1
Christopher Lister,1
"Bj\""orn Flatt",1
Norihito Toyota,1
Aapo Kauranen,1
Henri Bruno Razafindradina,1
Piyali Saha,1
Nelly Nguyen,1
Alexander Zharov,1
Marco Caliari,1
Carlos A. Savoy,1
"Chris B\""auerle",1
Linnan Wang,1
Pye Aung,1
"Simon K\""orber",1
Nathanael Fijalkow,1
Benjamin Siegert,1
Petar Bakalov,1
Yangyuxin Zou,1
Sheriffo Ceesay,1
Sebastian Sanchez,1
Yu Takagi,1
Vincent Roma,1
Matias Blana,1
Dejan Vukobratovic,1
Timothy R Holt,1
Xiang Zou,1
Richard Lyon,1
Hadrien Montanelli,1
F. Duraes,1
Leonid Afanasyev,1
Dimitrios Lampakis,1
Cristian Fernando Guajardo Y\'evenes,1
C\'esar Lenzi C H L,1
Henrique N. S\'a Earp,1
Javier Ferrando,1
Seth Moortgat,1
Barbara Rossi,1
Andreas Lemmer,1
Anthony Kalaitzis,1
Adriana Maria Gulisano A.M.G.,1
Arkadi Shagalov,1
Jocelyn Retter,1
Nicolas Chevalier,1
Marco Ewerton,1
Sylvain Mazoyer,1
Alasdair Allan,1
Joseph Goodwin,1
Zheng Xiaoping,1
Ali Bakhshandeh Rostami,1
Mark I. Lubin,1
Theo Van Grunsven,1
Patricia Vahle,1
Lamya Saleh,1
Leo N. Geppert,1
Thong Hoang,1
Bel\'en Vicente,1
Christopher J. Crowley,1
Jeremy Gulley,1
Hannu Oja,1
Alexander Zubarev P,1
Keyou You Dr.,1
Alicia Magann,1
Cameron F. Abrams,1
Tanweer Alam,1
Katsutoshi Takaki,1
Richard J. Szabo,1
B. Biswal,1
Susan Mniszewski,1
Gemma Bagheri Miss,1
Takeshi Okuda,1
Hideaki Hayashi D.Eng.,1
Abigail Polin,1
Siyi Huang,1
Rahul Goel,1
Desmond Villalba,1
Enrico Maiorino,1
Gary Mitchell,1
Arianna Brown,1
Matteo Cavaliere,1
Florian Otto,1
Pawe{\l} Naroski,1
Pablo Rodr\'iguez,1
Vikram Kumar,1
Riccardo Casalini,1
Renato Guseo,1
Labarsouque,1
Ali Kaviani,1
Kadir Akbudak Mr,1
Pascal Marquardt,1
"Martin M\""{o}hle",1
Michael Landry,1
David Pesquera,1
Yasa Eksioglu Ozok,1
Luciano Nobili,1
Vanessa Styles,1
Ron Cohen Mr.,1
Fabian Schwarzenberger,1
An Fischer C.,1
Hari Om Aggrawal,1
Maxime Lebugle,1
Jere Kahanpaa,1
Zuhngwhi Uhm,1
Emilia Mezzetti,1
Alireza Seif,1
Patrice Philippon,1
Oleg Mryasov N.,1
Marjolein van der Linden,1
David Godinho Pereira,1
Adrian Muntean,1
Md. Faruque Hossain Mr.,1
Andrew George Green,1
Graham Murphy Graham Murphy,1
Sakshi Pahwa,1
Skorik,1
Xiaoyi Liu,1
Philip Allen,1
Josep Rodr\'iguez-Sendra,1
Fu Jin male,1
Phil Crane,1
Lloyd West,1
Heejin Jeong,1
Zuo-nong Zhu,1
Andrew Malinowski,1
Redig F.,1
Anna Kraut,1
Sven Lbeck,1
Denis Sedov,1
Lev Glebsky,1
Nicole Y. Morgan,1
Alida Wuertz,1
Gunjan Kumar,1
Yoichi Nii,1
Dina Obeid,1
Adam Markiewicz,1
Rimah Amami,1
Tyler Cary,1
Sinisa Slijepcevic,1
Cristina Mollica,1
Elena Stefanova,1
Dmitry R Gulevich,1
David Shwa,1
Dirk Alexander Kulawiak,1
Terno Daniel,1
Nima Taghipour,1
Fabian Horst,1
Mehmet Senol,1
Georges Comte,1
"Ga\""etan Gras",1
Dimitar Jetchev P,1
Rolf S. Dubitzky,1
Lahoucine Bahmad,1
Binbin Chen,1
Gaurav Mittal,1
Christopher Sutherland,1
Stephen Reucroft,1
Jose Ignacio Farran,1
Dante Mosca,1
Richard Henriksen,1
Michael Groechenig,1
Anh Kiet Nguyen,1
Benjamin Dunn,1
Andrew Robbins,1
Daniel Rahner,1
Giorgos Theocharis,1
Marit Sandanger,1
Kenji Ono,1
Stefan Atzkern,1
Javier Faba,1
Laure Daviaud,1
Yuan Sen Ting Mr,1
Benjamin Czaja,1
Tousik Samui,1
Taketo Shirane,1
Scarlet Jinhong Park,1
Sascha Kalusniak,1
Tony M. Liss,1
Yongyut Laosiritaworn,1
Sava Ecaterina,1
Elaheh Gholami,1
Wadysaw Marcinek,1
Rainer Unterumsberger,1
Robert Lupton,1
Daniel Coronel,1
Christian Lorenz,1
Meimei Lai,1
Lorenzo Morini,1
Joseph A. Simons,1
Kenichi Bannai,1
Don R. Baker,1
Jarred Gershon Green,1
Robert Loughnane M,1
Ronald Bryan,1
Alexandr Obrazovsky,1
Alessandro Montanari,1
Cristovao Vilela,1
Yiwei Zhang,1
Rudolf Weeber,1
Maria Azhar,1
Joshuah  Heath,1
Arpine Kozmanyan,1
Sergei Zavgorodni,1
Jean Vannimenus,1
Christopher Neumann,1
Sinan Zei{\ss}ner,1
Laura Cole,1
Jiri Malek,1
Simon Evain,1
Michael C. Sullivan,1
Andrea De Franco,1
Yanhui Guo,1
Adrian Hofer,1
Eleanor Fascione,1
Chris Hartgerink,1
Mitsuaki Kimura,1
Zhitong Chen,1
Jonathan Skaza,1
Richard Bonventre,1
Rodrigo Carrasco,1
Harish Bhaskaran,1
Adam Zawadowski,1
Long Tian,1
Kazuki Sakai,1
Hyeok-Jung Kwon,1
Agnes Bussy,1
Karianne Holhjem,1
Yulik Khriplovich,1
Lia Krusin-Elbaum,1
Peter  Keller,1
Luqian Wang,1
Lubomir Banas,1
Emmanuel Dupont,1
M. Helmert,1
"Pui Shan, Anisia Tang",1
Yagnik Chatterjee,1
Honglong Shi,1
Cong Hung Mai,1
Andr\'as D\'er Dr.,1
Ivo Pietrov Degiovanni,1
Eleni Graikou,1
Jack Calcut,1
Ashutosh Rath Mr,1
Stefan Nowak,1
C Marcella Carollo,1
Hamana Takashi,1
Prahlad Vaidyanathan,1
Jose Luis Cabellos,1
Hygor Piaget Melo M.Sc.,1
Carlos P. Espigares,1
Dmitry Kokorin,1
Qi Lin,1
Yimin Liu,1
Carlo Bianca Mr,1
Tom Begley,1
Anthony Fradette,1
Roger Linfield,1
Tetsuya Furukawa,1
Ariel Livne,1
Shuo Jiang,1
Manuel Reinaldo-Falagan,1
Rok Vogrin\v{c}i\v{c},1
Erez Braun,1
Raphael M. Albuquerque,1
Michael Enciso,1
Eddie Schlafly,1
Abud Mario,1
Jakub J\c{e}drak,1
I\~naki San Pedro,1
Sreelekha S,1
Vesna Memisevic,1
Yongfeng Gao,1
Michael Ortalano,1
Boqiang Shen,1
Mathieu Buchkremer Mr.,1
Nishant Saurabh,1
Salima Zerguine,1
Hayato Mikami,1
Tom\'as R. Rodr\'iguez,1
Harj Dhillon,1
Andre Schirmeisen,1
Emanuel Sillero,1
Philipp Bamberger,1
Tom Ameloot,1
Akhil Ajay,1
Reuben Budiardja,1
Xiao Zhao,1
Razib Obaid,1
Ashley Chontos,1
Ioannis Roudas,1
Moritz Pleintinger,1
Viktor Winschel,1
David Feldbaum,1
Antonio Prados Monta\~no,1
Michal Mackiewicz,1
Yunhai Cai,1
Qingqing Wu,1
Sergio Consoli,1
"Nariaki Saka\""i",1
Lorenzo Costigliola,1
Carolyn S. Gordon,1
Alexander Saunders,1
Elyse Yeager,1
Danilo Forastiere,1
Louis Shehata,1
Alice Burrell,1
\v{Z}iga Gosar,1
Katharina Kusejko,1
Susan Pyne,1
Denny Otten,1
Nathan Orloff,1
Fanni Mincsovicsn\'e S\'elley,1
Steven Byrnes,1
Samantha Kirk,1
James Brusey,1
Lilia Solovyeva,1
Loic Chantry,1
Alexander Bien,1
Fatih Lau Mr,1
David Torchetti,1
Roiy Sayag,1
Nobuyasu Shiga,1
Mohammad Eftekhari,1
Kieran Forde,1
Thomas Meures,1
Baoxu Shi,1
J. P. Sun,1
Grundling Hendrik,1
Andrea Venturi Dr,1
Nau Pokhrel,1
Pattama Longani,1
Bai-Sheng Liu,1
Tam\'as Gr\'osz,1
Jair Botina,1
K. Bowler,1
Alexander Rodack,1
Eleonora Perversi,1
K. P. Levenfish,1
Adrian-Maria Scheerer,1
HongChen Jiang,1
Rafael Oliveira,1
Ryan McKenzie,1
Karim Bouadim Dr,1
Matthew Bryan,1
Belhassen Akrout,1
Andrea Fioretti,1
David Fuentes-Jimenez,1
Cesar M. Castromonte Flores,1
Roman Shindin,1
Richard Jacobsson,1
Dobromila Nowak-Szczepaniak,1
Nicolas Victoir,1
Jingran Guo,1
Pernechele Claudio,1
Johannes Siebenson,1
Ivan Lobaskin,1
Weiqiang Ding,1
Jie Hu Mr,1
James Koppel,1
Michel Brion,1
Mazen N. Bou Khuzam,1
Masaya Iwabuchi,1
Hanadi Salman,1
Neha Sengupta,1
Lee Sooyeul,1
Alejandro Al\'es,1
Bahram Ganjipour,1
Robert Rudd,1
Dr. Qiuping A. Wang,1
Alexey Strelchenko,1
Carolina Fortuna PhD,1
Tomoo Yokoyama,1
Jan De Beule,1
Konrad W. Lehnert,1
Brahim Bouharia,1
Shuyang Gao,1
Aditya Maheshwari,1
Meilin Gao,1
Phillip Burzynski,1
Eunsin Lee,1
Daniel-Marian Merezeanu,1
Matthew Stevenson,1
Deepak Samuel,1
Yancheng Wang,1
Elena Lupo,1
Minkyung Kim,1
Hyun-Kyoung Kwon,1
Coralie Weigel,1
Igor Khanonkin Mr.,1
Fernando Martinez-Garcia Mr.,1
Leni Bascones,1
Roman Korol,1
Oleg Zaboronsky,1
Luis Fern\'andez Menchero,1
Kathleen Flint,1
Francisco Carter,1
Vasiliev Vladimir,1
Xingbo Wu,1
Roy Glauber,1
Peida Tian,1
Brett Savoie,1
Amin Farajzadeh,1
Elvira Covino,1
Agnes Szanto,1
Xiang-Cui Lei,1
Ayhan Dil Mr.,1
Jeffrey Klein,1
Maxime Marmier,1
Manuel Elgueta,1
Yue Fu,1
Pathik Shah,1
Luca Wilke,1
Chiranjit Ray,1
Jiaqi Dong,1
Lukas Hehn,1
Wenyu Du,1
Pierre-Alexandre Jacques Bliman,1
Tanaus\'u Del Pino Alem\'an,1
Samuel Tardif,1
Enrico Negro,1
Anna-Maree Syme,1
Maria Gomez Rocha,1
Dhruv Paranjpye,1
Asch,1
Joseph Stead Dr,1
Jonathan Tottle,1
Ken-ichi Umezu,1
Gaspar Bakos A.,1
Silverio Mart\'inez-Fern\'andez,1
Shigeaki Nagamachi,1
Gottfried Lechner,1
Rahim Moosa,1
Greg Ciezarek,1
Matthew Jessop,1
"Janina L\""offler",1
Josef Worboys,1
Pawel Mekarski,1
Eric Bourgain-Chang,1
Roshan Krishna Kumar,1
Pierre Yves Gaudreau Lamarre,1
Chengyu Xi,1
Arliones Stevert Hoeller Junior,1
Yu Yamane,1
Xiangping Wu,1
Megan C. Novicki,1
Michael Bateman,1
Andreas Alexander Buchheit,1
Tommi Hakala,1
Dmitry S. Kaparulin,1
Alicia Bueno Belloso,1
Daniel Coupland,1
Rachel Wolf,1
Rohit Prasankumar,1
Haralambie Leahu,1
Masamichi Kuroda,1
Aleksey Sukhanov,1
Vo Hong Thanh,1
Manoj Nimbalkar M,1
C. Bhattacharyya,1
Candido Martin Gonzalez,1
Christopher Andersen Mr.,1
Ashok Kumar Verma,1
Dan Haran,1
Huy Kang Kim,1
Jessica Avva,1
Legrand Francois,1
Alex Zlatkin,1
Thomas Ge{\ss}ler,1
Christopher Dietl,1
Jian Fuh Ong,1
Rik Van Lieshout,1
Azaria Coupe,1
Igor E. Pritsker,1
Vo V. Anh,1
Ornolfur Rognvaldsson,1
Xavier Vinyas Gausi,1
Marianne Corvellec,1
Markus Pflaum,1
Masahiro Komatsu,1
Ruochen Ma,1
Yannick Malevergne,1
Stephen S. Kelley,1
Simon Graham Mr,1
Jie Huang,1
Gesa Bertrang,1
Colby Ostberg,1
Yunsu Jang,1
Lei Gu,1
Joydeep BAgchi,1
Thomas Keef Mr,1
Balasaheb  Nagare,1
Alexander Giles,1
Danny Vanpoucke M.Sc,1
Grzegorz Plewa,1
Amit Samanta,1
Andrew Uzzell,1
Xiangrong Zhu,1
Anthony Busfield,1
Yu Fu,1
Ranjana Rani Das,1
Finn Knudsen F,1
Masayuki Nakada,1
Lee Jung Jai,1
Christos Anastopoulos,1
Pi A. B. Haase,1
Jelmer Boter,1
Guido Piragino Professor,1
Christian Dorfer,1
"Matth\""aus Schulik",1
Nicole Kraemer,1
Seungki Kim,1
Sara Riazi,1
Eric Monteiro,1
Frederic Nowacki,1
A. Matzkin,1
Sanjubala Sahoo,1
M. Borowko,1
L. Wolfenstein,1
Rene Geithner,1
Gabriele Natale M.Sc.,1
Lennart van Sluijs,1
Shih-Chuan Gou,1
Peter Woelfle,1
Sep Thijssen,1
Xiang-Er Fang,1
Alexandre Mouton,1
Christoph Ernst,1
Judith Hannoun,1
Luigi Palatella,1
Phil Ferrer,1
Michael Merker,1
George Howitt,1
Jesse Bluem,1
Yuming Ma,1
Wojciech Zabo{\l}otny PhD,1
Somayeh Kafaie,1
Masoud Rafiei-Ravandi,1
Viviana Gomez,1
Ignacio Heredia,1
Holger Ott,1
Michael Graupner,1
Stephanie De Ruyter,1
Arnaldo Rodriguez-Gonzalez,1
Yusuke Tokunaga,1
Ricky Xiaofeng Chen,1
Cheng Jia-Ming Key lab of quantum information CAS,1
Wolfgang Kluge,1
Ranjit Jhala,1
Yugang Zhao,1
Firoj Parwej Dr.,1
"Yahya \""Oz",1
Alexandre Anan'in,1
Christopher Leary,1
Juliano Henrique Foleiss,1
Giorgio Ziino,1
Sanjay Makhtedar Kumar,1
Zi-Niu  Wu,1
N. N. Barnard,1
Sitnik Sergei M,1
Philip R. page,1
Rostyslav Yamnenko,1
David Joyner,1
Tadashi Shiota,1
Kazuki Niino,1
Christopher O'Connor,1
Yoshinori Tutui,1
Francois Sicard,1
Aleksandr  Kivenson,1
Nadja Klein,1
Kathryn Devine,1
Aarti Girdhar Ms.,1
Shasha Li,1
Chung-I. Kuo,1
Jie Huo,1
Nele Schildermans,1
Vesa Ruuskanen,1
James McKay,1
Milad Nasr,1
S. J. C. H. Theeuwen,1
Robert A. Jefferson,1
Rachel A. Pildis,1
Joao Costa,1
Jinxing Xu,1
Robert McKeown,1
Vincent Duch\^ene M.,1
Miriam He{\ss},1
Ivan Voitalov,1
Greg Michaelson,1
Sandra Leone,1
"Hannes B\""ohm",1
Robert Viesca,1
Michael Korotin,1
Kefeng Sun,1
Flavien Hirsch,1
Tobias Gottwald,1
Chris Moore,1
Dylan Black,1
Frank Wolfs,1
Yuxi Li,1
Anna Dobosz,1
Javad Ebadi,1
Steve Hofmann,1
Jonathan Mayo-Maldonado,1
Douglas S Bridges,1
Marco Antonio Reyes Santos,1
Kenichiro Kusudo,1
Will Guest,1
Kainan Hu,1
Mahdi Moeini Arani,1
Eugeny G. Abramochkin,1
Naima Hammoud,1
Florian Bouyer,1
Dmitry Chistikov,1
H. G. Kausch,1
Michele Trabucchi,1
Christos Merkatas,1
Daren B. H. Cline,1
Ing-Jye Hwang,1
Mihail Poplavskyi,1
Rumyantsev Dmitry Alexandrovich,1
Yao Zheng,1
